File,Vehicles Used,Total Distance,Routes
c202.txt,6,2974.125250525703,"Route 1 : 0 1 2 3 4 5 89 60 7 19 16 8 77 12 0
Route 2 : 0 20 22 24 6 32 97 92 35 38 39 36 56 28 18 86 44 9 79 81 78 21 26 0
Route 3 : 0 63 67 62 27 29 61 64 33 68 49 55 54 53 58 88 23 57 40 13 25 47 43 11 10 31 34 48 0
Route 4 : 0 93 74 30 99 66 69 65 84 14 15 51 73 80 42 41 37 50 59 0
Route 5 : 0 46 45 71 17 72 75 82 83 85 87 90 0
Route 6 : 0 76 70 94 95 91 96 98 52 0"
c203.txt,8,2550.633667099916,"Route 1 : 0 1 2 3 4 5 7 88 8 12 14 16 0
Route 2 : 0 22 67 62 6 33 35 38 39 36 53 56 58 9 10 41 77 54 0
Route 3 : 0 93 27 30 99 64 66 68 49 55 13 25 80 11 59 60 71 0
Route 4 : 0 74 69 92 65 15 17 42 78 73 81 85 20 0
Route 5 : 0 23 40 44 45 76 70 79 18 19 26 28 31 0
Route 6 : 0 84 32 34 37 21 24 29 43 46 47 48 50 51 52 57 61 0
Route 7 : 0 94 95 97 63 72 75 82 83 86 87 89 0
Route 8 : 0 90 91 96 98 0"
c204.txt,7,2156.570439867325,"Route 1 : 0 1 2 3 4 5 6 7 8 10 12 14 0
Route 2 : 0 67 62 38 55 53 58 9 11 77 54 56 20 0
Route 3 : 0 69 92 13 25 79 70 71 73 80 81 63 0
Route 4 : 0 74 99 15 85 16 17 18 19 26 28 33 34 0
Route 5 : 0 23 44 76 82 83 86 87 88 0
Route 6 : 0 84 89 91 94 95 97 98 35 36 37 39 21 22 24 27 29 0
Route 7 : 0 30 31 32 40 41 42 43 45 46 47 48 49 50 51 52 57 59 60 61 64 65 66 68 72 75 93 78 90 96 0"
c205.txt,4,1012.9446347968773,"Route 1 : 0 1 75 2 29 6 32 33 31 35 37 7 3 4 89 91 88 84 86 83 82 85 76 71 70 73 80 79 81 78 77 87 0
Route 2 : 0 5 20 22 24 74 72 61 64 66 69 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 25 9 11 10 8 21 0
Route 3 : 0 62 63 67 27 30 99 97 92 94 95 98 38 39 36 34 28 26 23 18 19 16 14 12 15 17 13 47 43 42 41 48 90 0
Route 4 : 0 93 96 0"
c206.txt,5,2601.152142657684,"Route 1 : 0 1 2 3 94 98 7 54 53 8 47 9 10 48 21 0
Route 2 : 0 5 24 63 67 6 20 29 31 32 33 95 49 39 36 34 12 19 16 14 15 17 70 73 79 81 41 77 0
Route 3 : 0 22 27 62 74 93 30 61 64 66 69 68 35 37 38 4 91 18 23 86 40 44 76 71 13 25 11 78 87 90 0
Route 4 : 0 72 75 99 97 92 65 55 56 28 58 60 89 26 57 82 85 45 51 50 52 43 42 96 0
Route 5 : 0 59 84 88 83 46 80 0"
c207.txt,5,2851.654948884604,"Route 1 : 0 1 2 24 72 61 6 32 7 33 55 54 53 56 34 8 9 10 16 11 51 17 43 42 21 48 0
Route 2 : 0 5 63 67 75 62 27 22 97 20 68 65 49 4 89 38 36 58 23 26 18 19 45 12 15 13 25 78 41 0
Route 3 : 0 93 74 99 30 29 64 66 69 95 98 3 31 35 37 88 86 28 57 40 44 14 70 73 79 81 77 87 90 0
Route 4 : 0 92 94 39 91 84 59 60 82 85 76 46 80 47 50 52 96 0
Route 5 : 0 83 71 0"
c208.txt,4,1467.6842179114878,"Route 1 : 0 1 2 3 33 31 35 37 38 39 36 34 28 26 23 18 19 16 14 12 15 17 13 25 9 11 8 21 0
Route 2 : 0 5 6 20 22 24 27 29 32 66 69 68 65 49 55 4 56 58 60 59 57 40 44 45 51 50 52 47 43 42 41 78 0
Route 3 : 0 62 63 67 74 75 93 30 61 64 92 94 95 98 7 53 89 91 88 84 86 83 82 85 76 71 70 73 80 79 81 10 0
Route 4 : 0 72 99 97 54 46 48 77 87 90 96 0"
r101.txt,24,2313.7543652852464,"Route 1 : 0 1 77 0
Route 2 : 0 2 38 37 17 93 0
Route 3 : 0 5 52 40 97 13 89 58 0
Route 4 : 0 11 19 50 60 0
Route 5 : 0 12 76 78 3 68 24 80 0
Route 6 : 0 14 98 16 85 0
Route 7 : 0 23 67 56 74 25 0
Route 8 : 0 27 31 8 46 0
Route 9 : 0 28 30 51 20 32 70 0
Route 10 : 0 33 29 53 26 0
Route 11 : 0 36 47 18 0
Route 12 : 0 39 21 73 22 0
Route 13 : 0 42 61 84 43 91 0
Route 14 : 0 45 64 49 0
Route 15 : 0 59 69 90 66 0
Route 16 : 0 63 62 88 7 54 0
Route 17 : 0 65 71 9 34 35 0
Route 18 : 0 72 15 87 57 0
Route 19 : 0 92 95 75 41 0
Route 20 : 0 82 99 6 0
Route 21 : 0 83 44 86 96 0
Route 22 : 0 79 55 4 0
Route 23 : 0 81 10 48 0
Route 24 : 0 94 0"
r102.txt,20,2222.199068316222,"Route 1 : 0 1 27 16 86 43 13 91 0
Route 2 : 0 14 15 40 54 5 0
Route 3 : 0 36 47 18 7 37 52 0
Route 4 : 0 39 23 67 56 74 75 72 21 0
Route 5 : 0 42 38 82 83 2 0
Route 6 : 0 45 64 49 80 26 0
Route 7 : 0 63 62 11 90 66 50 58 0
Route 8 : 0 92 44 87 89 59 0
Route 9 : 0 28 30 78 20 98 0
Route 10 : 0 33 29 51 10 32 70 31 0
Route 11 : 0 65 71 9 35 34 3 0
Route 12 : 0 61 57 96 94 95 0
Route 13 : 0 69 76 53 0
Route 14 : 0 73 22 0
Route 15 : 0 88 84 97 60 85 93 0
Route 16 : 0 99 6 0
Route 17 : 0 19 8 46 17 48 0
Route 18 : 0 41 0
Route 19 : 0 79 55 4 25 0
Route 20 : 0 81 68 24 77 12 0"
r103.txt,22,2665.806620461312,"Route 1 : 0 1 27 11 49 13 5 0
Route 2 : 0 36 64 35 32 0
Route 3 : 0 39 23 67 56 4 2 57 0
Route 4 : 0 42 15 22 68 34 81 0
Route 5 : 0 45 38 74 43 0
Route 6 : 0 92 62 8 10 46 82 0
Route 7 : 0 33 30 78 55 12 52 0
Route 8 : 0 65 79 14 16 59 0
Route 9 : 0 44 87 17 48 0
Route 10 : 0 69 76 9 66 19 7 0
Route 11 : 0 99 6 47 63 31 0
Route 12 : 0 88 84 71 0
Route 13 : 0 40 53 90 20 51 0
Route 14 : 0 41 70 28 0
Route 15 : 0 61 86 85 91 83 18 24 0
Route 16 : 0 25 54 0
Route 17 : 0 29 37 60 72 75 21 0
Route 18 : 0 93 94 0
Route 19 : 0 98 77 3 0
Route 20 : 0 80 26 0
Route 21 : 0 89 97 58 0
Route 22 : 0 73 50 95 96 0"
